,sale_date,bedrooms,bathrooms,house_floors,kcgs_waterfront,kcgs_view,kcgs_condition,kcgs_grade,year_construction,year_renovation,zip_code,price,m2_living,m2_lot,m2_above,m2_basement,m2_living_2015,m2_lot_2015
22,09.05.14,5,7.0,2.0,0,0,3,12,2010,0,98027,2240000,676,12083,597,79,167,4172
23,09.02.15,4,6.0,2.0,0,4,3,12,2000,0,98053,1940000,671,20768,578,93,249,706
24,19.02.15,5,6.0,2.0,0,4,3,12,2007,0,98006,900000,662,3792,509,152,320,3426
25,23.09.14,6,5.0,3.0,0,0,3,13,1933,2002,98199,3200000,660,1691,487,173,291,602
26,14.10.14,4,6.0,2.0,0,0,3,12,2008,0,98039,4000000,658,1540,535,123,292,1487
27,01.07.14,5,6.0,1.0,0,2,4,13,1978,0,98004,3800000,655,3981,401,254,471,1912
28,12.08.14,4,4.0,1.0,1,4,4,12,1991,0,98075,3200000,651,2621,325,325,457,1363
29,29.05.14,6,5.0,3.0,0,4,4,12,1999,0,98040,3100000,649,1457,495,153,365,1707
30,29.09.14,4,6.0,1.0,0,0,4,11,1950,1991,98006,2530000,644,4191,401,243,238,3510
31,20.06.14,6,5.0,2.0,0,0,4,9,2002,0,98077,1140000,641,22743,448,193,388,24776
32,22.08.14,5,6.0,2.0,0,3,3,12,2007,0,98045,1490000,639,26019,378,261,436,23866
33,10.12.14,2,2.0,3.0,1,4,3,11,2001,0,98008,3280000,636,929,404,231,290,1143
34,04.03.15,5,4.0,3.0,0,0,3,13,1922,0,98102,2480000,633,697,568,65,247,697
35,07.05.15,5,4.0,2.0,0,0,3,12,2007,0,98004,3000000,620,1532,461,159,446,1543
36,15.08.14,5,6.0,2.0,1,4,3,12,2004,0,98155,4500000,617,3719,590,27,282,2175
37,27.06.14,4,5.0,2.0,0,0,3,12,1993,0,98077,1820000,617,4956,617,0,429,6378
38,20.06.14,7,6.0,2.0,0,0,3,10,2004,0,98006,1240000,616,1281,458,158,415,803
39,24.11.14,6,4.0,2.0,0,0,3,10,2002,0,98005,1300000,610,3036,479,131,243,2105
40,20.08.14,4,6.0,1.0,0,0,3,11,2006,0,98058,1500000,609,20202,502,107,382,4682
41,15.04.15,4,6.0,2.0,0,2,3,11,2008,0,98014,1600000,607,80967,607,0,119,79752
42,12.09.14,5,5.0,2.0,0,3,4,11,1980,0,98040,1900000,605,1531,302,303,416,1531
43,08.07.14,4,6.0,2.0,0,0,3,11,2001,0,98039,2460000,604,1393,481,123,211,755
44,16.05.14,5,5.0,2.0,0,3,4,11,1991,0,98040,2000000,603,1009,366,237,306,1309
45,18.06.14,4,3.0,2.0,0,0,3,12,2001,0,98004,4490000,598,2557,598,0,346,1356
46,03.12.14,4,5.0,3.0,0,2,4,12,1906,0,98144,2730000,596,4074,521,74,211,616
47,29.07.14,3,4.0,1.0,0,2,4,10,1966,0,98177,1330000,595,7125,354,241,319,5627
48,24.06.14,5,5.0,2.0,0,0,3,10,1940,0,98112,2470000,594,1225,424,170,373,756
49,09.10.14,4,5.0,2.0,0,0,3,12,2006,0,98029,1820000,593,8245,593,0,283,661
50,23.01.15,4,4.0,2.0,0,0,3,12,2008,0,98027,1800000,592,19108,592,0,138,3121
51,20.11.14,4,4.0,2.0,0,2,3,13,2000,0,98033,2390000,588,1236,455,133,204,855
52,12.01.15,5,4.0,2.0,0,1,3,12,2004,0,98004,2750000,586,1493,405,180,303,1607
53,28.03.15,6,7.0,2.0,0,0,3,11,2007,0,98075,1180000,582,1018,450,132,252,1166
54,18.09.14,5,5.0,1.0,0,3,3,11,2003,0,98040,2950000,580,4413,428,151,388,1642
55,07.05.14,7,5.0,3.0,0,2,5,11,1910,0,98109,3200000,577,823,442,135,273,502
56,15.10.14,5,5.0,3.0,0,1,4,11,1988,0,98040,1960000,576,2172,469,107,344,1346
57,04.09.14,5,5.0,2.0,1,4,4,11,1989,0,98008,3300000,576,1289,413,164,273,1257
58,28.08.14,6,6.0,2.0,0,0,3,11,2007,0,98074,1280000,572,2555,375,197,393,846
59,17.11.14,4,6.0,2.0,0,0,3,11,2005,0,98059,1320000,568,964,568,0,389,1000
60,28.08.14,5,5.0,3.0,0,0,3,11,2000,0,98014,1610000,566,13264,566,0,449,11938
61,10.07.14,5,5.0,2.0,0,0,3,12,1999,0,98024,1550000,564,15950,564,0,435,19634
62,10.11.14,5,5.0,2.0,0,0,3,11,2004,0,98059,1570000,564,1369,564,0,441,1246
63,11.08.14,4,5.0,1.0,0,3,4,12,1996,0,98006,1760000,563,2010,330,232,454,1787
64,18.06.14,6,5.0,2.0,0,3,3,11,2001,0,98024,1600000,562,21436,562,0,391,21745
65,11.12.14,4,4.0,3.0,0,2,3,9,2009,0,98077,930000,562,7894,386,177,251,18541
66,22.05.14,6,5.0,2.0,0,0,3,11,1996,0,98029,1150000,561,20404,381,180,187,3008
67,15.08.14,3,4.0,2.0,0,0,3,11,1991,0,98004,1830000,560,3654,413,148,375,1146
68,22.08.14,4,4.0,2.0,0,0,3,11,2004,0,98053,1530000,557,10323,557,0,436,11052
69,19.06.14,5,5.0,2.0,1,4,3,11,2002,0,98027,2200000,557,971,376,180,309,1376
70,09.01.15,6,4.0,2.0,0,4,3,10,2005,0,98065,1140000,554,1877,362,191,359,1190
71,29.05.14,5,4.0,2.0,0,2,3,10,1984,0,98008,1360000,554,1274,443,111,261,1610
72,27.05.14,4,3.0,2.0,0,4,3,11,2004,0,98065,1150000,552,1072,460,92,394,1191
73,14.07.14,5,4.0,2.0,0,2,3,11,1996,0,98027,1520000,551,1235,364,187,359,1121
74,28.07.14,4,4.0,2.0,0,0,5,10,1907,0,98112,2400000,545,669,343,202,386,669
75,09.05.14,4,5.0,2.0,0,0,4,10,1996,0,98072,1160000,545,4915,456,88,309,3631
76,02.02.15,6,5.0,2.0,0,3,3,10,2013,0,98006,1750000,545,1294,386,159,538,1294
77,10.02.15,4,4.0,2.0,0,0,4,12,1990,0,98006,1530000,544,3259,410,134,449,3364
78,25.06.14,5,4.0,2.0,0,2,4,11,1978,0,98004,1700000,544,2127,434,110,301,1768
79,17.12.14,4,4.0,2.0,0,1,3,11,2007,0,98023,1280000,543,1001,543,0,317,1001
80,11.03.15,5,5.0,2.0,0,0,3,12,2006,0,98029,2200000,543,1596,425,118,451,1396
81,08.01.15,5,4.0,2.0,0,1,3,11,1988,0,98004,2200000,543,1083,410,133,290,1268
82,13.12.14,4,4.0,2.0,0,0,3,11,2005,0,98024,1580000,542,12186,542,0,496,19257
83,16.03.15,4,5.0,2.0,0,0,3,11,1993,0,98042,784500,541,1292,349,192,277,1208
84,02.09.14,4,5.0,2.0,0,0,3,10,2004,0,98033,1880000,540,691,352,188,280,669
85,04.08.14,5,4.0,2.0,0,3,3,10,2014,0,98006,1240000,538,1276,412,126,538,1276
86,02.10.14,5,4.0,2.0,0,3,3,10,2014,0,98006,1750000,538,1184,412,126,538,1294
87,19.12.14,4,4.0,2.0,0,0,3,11,2008,0,98112,2890000,537,667,384,153,365,743
88,09.07.14,5,5.0,2.0,0,0,3,11,2006,0,98040,2320000,537,1580,396,141,322,1009
89,14.05.14,5,5.0,1.0,0,2,3,11,1984,0,98003,740000,537,2944,417,119,303,1227
90,14.11.14,4,5.0,2.0,1,4,4,11,1980,0,98040,3850000,536,1980,536,0,429,2114
91,26.01.15,6,5.0,2.0,0,3,3,12,1998,0,98006,1680000,536,1556,418,118,415,1354
92,14.11.14,4,5.0,1.0,0,3,5,9,1949,0,98115,1540000,536,934,294,243,274,623
93,29.07.14,4,3.0,2.0,0,4,4,12,1994,0,98177,2880000,535,2977,408,127,318,2646
94,05.03.15,6,5.0,2.0,0,2,3,11,2000,0,98006,1380000,533,958,336,198,404,1108
95,12.06.14,4,3.0,2.0,0,4,3,11,1991,0,98074,1230000,533,4177,398,135,308,1638
96,10.07.14,6,5.0,2.0,0,0,3,10,2004,0,98006,1330000,532,949,388,144,400,950
97,03.11.14,4,5.0,2.0,0,0,3,11,2007,0,98092,930000,531,2292,531,0,377,2216
98,30.05.14,6,3.0,1.0,0,4,4,10,1977,0,98006,1390000,530,1859,265,265,343,1459
99,02.02.15,4,5.0,2.0,0,2,3,11,2008,0,98010,935000,527,7832,527,0,381,7782
100,05.06.14,4,5.0,2.0,0,0,3,10,2001,0,98019,955000,526,17992,381,145,336,19251
101,08.05.15,4,4.0,2.0,0,2,3,11,2015,0,98006,2000000,524,3253,455,69,457,3256
102,01.12.14,4,4.0,2.0,0,3,3,10,2011,0,98003,950000,524,901,405,118,346,908
103,03.02.15,5,5.0,3.0,0,3,3,11,1999,0,98199,1570000,522,539,437,86,219,539
104,29.12.14,5,4.0,2.0,0,0,4,11,1916,0,98144,2500000,522,1178,385,138,415,748
105,16.12.14,5,4.0,2.0,0,0,3,11,1996,0,98072,995000,521,2094,380,141,359,2300
106,24.04.15,4,4.0,3.0,0,0,3,11,2006,0,98074,1580000,521,1028,441,80,424,1028
107,06.04.15,5,4.0,2.0,0,0,3,10,1988,0,98072,1090000,520,9959,320,201,322,7044
108,24.05.14,4,5.0,2.0,0,0,3,11,1998,0,98014,1680000,519,6344,519,0,467,9470
109,15.10.14,5,4.0,2.0,0,0,5,9,1952,0,98105,1860000,518,892,359,159,295,967
110,06.11.14,4,5.0,2.0,0,0,3,11,2005,0,98059,1500000,516,1205,516,0,441,1208
111,30.05.14,4,4.0,2.0,0,2,4,12,2000,0,98039,3710000,516,2609,311,204,277,1822
112,01.05.15,4,5.0,2.0,0,0,3,9,2003,0,98040,1650000,516,1493,361,155,322,1532
113,25.02.15,6,5.0,2.0,0,2,3,11,2014,0,98033,2350000,516,1073,397,119,323,1073
114,07.01.15,4,4.0,2.0,0,0,3,11,2003,0,98014,937500,515,80967,335,180,318,80967
115,05.12.14,4,5.0,2.0,0,1,3,11,2006,0,98004,2580000,515,1432,398,117,332,1371
116,08.12.14,6,5.0,3.0,0,2,4,11,1909,0,98119,2630000,515,669,367,148,272,669
117,23.04.15,5,3.0,2.0,0,2,3,10,1969,1994,98072,1350000,514,3607,514,0,353,4128
118,16.05.14,4,3.0,2.0,0,3,3,9,2008,0,98006,1270000,513,773,332,181,350,769
119,11.09.14,3,5.0,2.0,0,4,3,13,1997,0,98177,3800000,512,3253,456,56,319,4210
120,30.10.14,4,4.0,1.0,0,4,3,12,1996,0,98006,1790000,510,1329,270,240,399,1285
121,11.10.14,5,6.0,2.0,0,0,3,12,2005,0,98039,3640000,510,1849,510,0,270,1636
122,21.04.15,6,5.0,2.0,1,4,5,11,1936,0,98105,3650000,509,1803,363,146,326,1469
123,01.12.14,6,5.0,2.0,0,0,4,10,1991,0,98031,800000,509,17570,478,32,230,969
124,20.06.14,6,5.0,2.0,0,3,4,9,1999,0,98119,2400000,509,1004,412,98,276,669
125,07.04.15,3,4.0,2.0,1,4,3,11,1991,0,98166,2510000,509,5389,509,0,232,2133
126,10.07.14,4,3.0,2.0,1,4,3,11,1992,0,98118,1610000,508,1691,347,162,336,1403
127,14.11.14,5,4.0,2.0,0,0,3,11,1976,0,98005,975000,508,3259,427,82,335,3260
128,28.01.15,4,2.0,1.0,0,0,4,9,1964,0,98032,545000,508,2126,303,204,180,1022
129,03.10.14,4,4.0,2.0,0,0,5,9,1984,0,98042,610000,507,3444,507,0,260,3319
130,07.10.14,5,5.0,2.0,0,0,3,11,2014,0,98039,3420000,507,1897,507,0,294,1657
131,30.09.14,4,3.0,1.0,0,0,2,9,1969,0,98001,850000,506,22266,253,253,183,3754
132,15.09.14,4,4.0,2.0,0,0,3,12,1990,0,98053,1770000,506,3615,506,0,449,3839
133,07.07.14,4,3.0,2.0,0,0,4,10,1987,0,98053,1360000,505,10121,505,0,295,9951
134,09.07.14,5,4.0,2.0,0,2,3,10,2007,0,98006,1240000,505,960,373,132,403,959
135,12.05.14,4,5.0,1.0,0,0,3,11,2001,0,98053,1230000,504,9473,362,142,442,9473
136,24.11.14,5,5.0,2.0,0,0,4,10,1941,0,98112,2540000,503,1248,469,33,349,1078
137,18.02.15,3,3.0,2.0,1,4,4,12,1976,0,98166,2130000,502,2237,502,0,370,9700
138,11.09.14,3,4.0,2.0,0,0,3,11,1997,0,98053,1210000,502,2299,502,0,157,1859
139,02.02.15,5,4.0,2.0,0,0,3,10,1918,2008,98004,3000000,499,1310,358,141,224,1120
140,15.01.15,7,5.0,2.0,0,0,3,8,1967,0,98040,884900,499,1004,499,0,215,1014
141,07.04.15,4,4.0,2.0,0,0,3,10,2002,0,98075,1570000,499,30039,499,0,351,919
142,03.09.14,4,4.0,2.0,0,4,4,11,1990,0,98198,1350000,499,1895,499,0,257,2070
143,06.04.15,4,3.0,2.0,0,0,3,10,2005,0,98042,790000,499,6491,325,174,413,8774
144,04.05.15,4,4.0,1.0,0,0,3,9,1971,0,98074,700000,498,2398,304,194,246,2024
145,26.09.14,7,3.0,3.0,0,0,4,10,1910,0,98112,2890000,497,1338,467,31,283,694
146,02.04.15,5,4.0,1.0,0,1,3,11,2008,0,98004,3350000,497,1428,283,215,348,1481
147,19.05.14,5,4.0,3.0,0,3,4,10,1912,0,98144,2100000,496,990,348,149,363,875
148,30.03.15,6,4.0,2.0,0,0,3,11,2000,0,98006,1130000,495,1684,367,128,427,1571
149,21.05.14,5,4.0,2.0,0,2,3,10,2006,0,98027,950000,495,558,332,164,411,539
150,14.07.14,4,4.0,2.0,0,0,3,11,2003,0,98075,1060000,494,1863,494,0,431,1605
151,07.10.14,4,5.0,2.0,0,0,4,11,1989,0,98077,1370000,493,5330,493,0,388,4409
152,23.04.15,6,4.0,2.0,0,2,3,10,1967,0,98040,1050000,493,1184,335,159,389,1174
153,08.08.14,7,5.0,2.0,0,0,3,10,2013,0,98004,2300000,493,819,339,154,271,986
154,12.05.15,4,5.0,1.0,0,4,3,12,1992,0,98006,2480000,493,1571,287,206,485,1459
155,21.05.14,5,5.0,2.0,0,2,3,11,2005,0,98033,2700000,493,781,348,145,275,669
156,13.05.14,4,3.0,2.0,1,2,2,10,1923,0,98105,2560000,493,2436,425,68,362,1792
157,12.03.15,4,4.0,2.0,0,0,3,11,1989,0,98077,1150000,493,3442,493,0,347,3442
158,01.10.14,3,4.0,2.0,0,0,4,11,1988,0,98053,1690000,492,20859,422,70,349,7894
159,26.03.15,3,4.0,2.0,0,0,4,11,1988,0,98053,1800000,492,20859,422,70,349,7894
160,22.04.15,4,4.0,2.0,0,3,3,11,1978,0,98040,1550000,491,1643,299,191,322,1624
161,08.07.14,4,4.0,2.0,0,0,3,10,2004,0,98058,782000,490,4965,320,170,217,2872
162,10.06.14,5,4.0,2.0,0,1,3,10,1977,2003,98040,1800000,490,1601,373,117,330,1293
163,16.12.14,4,5.0,2.0,1,4,3,11,1979,0,98027,2600000,490,1133,316,174,315,921
164,23.04.15,4,5.0,2.0,0,0,3,10,1998,0,98059,915000,488,4494,488,0,232,4494
165,29.07.14,4,6.0,2.0,0,2,3,10,2006,0,98024,1860000,487,29825,487,0,179,6396
166,23.04.15,4,5.0,3.0,0,0,3,11,2002,0,98038,1350000,486,8299,486,0,382,9958
167,23.06.14,3,5.0,2.0,1,4,3,10,2005,0,98040,3400000,486,1657,348,138,341,1657
168,01.12.14,5,4.0,2.0,0,0,3,11,2014,0,98004,1990000,486,833,414,72,215,892
169,18.11.14,5,5.0,2.0,0,0,3,11,2001,0,98072,1570000,485,6256,485,0,389,3774
170,20.08.14,4,4.0,2.0,0,3,3,11,2006,0,98075,1480000,485,1432,330,155,289,1313
171,12.08.14,5,4.0,3.0,0,4,5,10,1911,0,98136,2200000,484,3324,459,25,241,953
172,01.07.14,5,6.0,2.0,0,2,3,11,2001,0,98065,925000,482,1174,482,0,357,1174
173,09.05.14,5,5.0,2.0,0,2,3,11,1987,2000,98040,1700000,482,2204,315,167,414,2114
174,13.11.14,5,4.0,2.0,0,1,3,11,2013,0,98039,2900000,482,1357,482,0,357,1789
175,01.04.15,4,4.0,2.0,0,3,3,12,2006,0,98006,2250000,481,1845,329,152,294,906
176,10.09.14,5,4.0,1.0,0,0,3,11,1993,0,98006,1200000,481,1822,243,239,376,1422
177,30.04.15,4,4.0,2.0,0,0,4,10,1991,0,98053,1240000,481,4641,481,0,394,3287
178,05.06.14,5,5.0,2.0,0,2,3,11,2001,0,98065,1080000,481,1655,378,103,368,1404
179,18.07.14,4,5.0,2.0,0,3,3,12,1998,0,98006,1490000,481,1215,398,84,467,1400
180,01.10.14,5,4.0,3.0,1,4,3,11,1998,0,98155,1680000,480,669,327,153,281,1197
181,05.05.15,5,5.0,2.0,0,0,3,12,1996,0,98005,1900000,480,4118,480,0,442,4118
182,25.11.14,4,4.0,2.0,0,3,3,11,1997,0,98053,2140000,479,42184,405,73,232,19999
183,25.07.14,3,5.0,3.0,0,2,3,11,1954,0,98112,2250000,479,725,388,91,397,725
184,09.12.14,5,4.0,2.0,0,2,3,10,2007,0,98008,1380000,479,1137,344,135,273,1251
185,03.10.14,5,5.0,2.0,0,0,3,11,1996,0,98006,1600000,477,4008,477,0,434,4048
186,06.02.15,3,4.0,3.0,0,2,3,11,2008,0,98034,1550000,476,428,417,59,233,550
187,08.12.14,4,5.0,2.0,0,0,3,10,2008,0,98053,1240000,476,3841,306,170,312,7692
188,24.09.14,5,4.0,2.0,0,0,3,10,2003,0,98034,650000,475,931,358,117,166,931
189,04.03.15,6,4.0,3.0,0,0,4,11,1906,0,98112,2140000,475,662,475,0,382,602
190,24.10.14,7,4.0,2.0,0,0,3,10,2001,0,98075,936000,474,2026,338,136,311,930
191,29.07.14,5,6.0,2.0,0,0,3,12,2006,0,98004,3100000,473,2200,473,0,356,2101
192,07.04.15,4,4.0,1.0,0,0,3,11,2013,0,98004,3000000,473,1378,388,85,282,1185
193,16.12.14,4,4.0,2.0,0,0,3,11,2001,0,98006,1900000,472,2579,472,0,440,2075
194,03.07.14,4,4.0,2.0,0,0,3,11,2000,0,98053,1100000,471,5588,471,0,457,9473
195,18.03.15,5,3.0,1.0,0,2,3,9,1968,0,98003,452000,471,1237,293,178,266,1297
196,22.05.14,4,6.0,2.0,0,0,3,11,2008,0,98004,2150000,470,959,470,0,280,937
197,04.05.15,4,4.0,2.0,0,2,3,11,1982,2008,98004,2900000,469,1868,441,28,362,1864
198,21.11.14,4,4.0,2.0,0,0,3,10,2000,0,98027,1340000,469,18825,303,166,313,19837
199,07.10.14,5,4.0,2.0,0,2,3,11,2001,0,98075,1030000,469,1533,469,0,425,1533
200,21.04.15,4,4.0,2.0,0,0,3,11,2007,0,98004,2320000,469,885,336,134,226,859
201,25.03.15,4,5.0,1.0,0,3,3,10,1950,0,98105,2530000,468,1491,318,151,368,1301
202,01.05.15,4,4.0,1.0,0,0,5,10,1976,0,98006,2850000,468,1599,267,202,376,1733
203,13.02.15,5,5.0,2.0,0,0,3,11,2004,0,98059,1280000,468,880,468,0,400,875
204,13.05.14,4,5.0,2.0,0,2,3,11,2008,0,98040,2450000,467,1024,302,165,338,1068
205,18.11.14,3,4.0,2.0,1,4,3,10,1941,2002,98144,3600000,467,1155,318,149,342,1173
206,09.09.14,4,5.0,2.0,0,0,3,12,1998,0,98074,1500000,467,2446,467,0,458,2446
207,11.05.15,5,4.0,2.0,0,1,3,12,2007,0,98004,3650000,467,808,369,98,389,1048
208,10.10.14,4,4.0,2.0,0,0,5,9,1978,0,98027,965000,466,4575,345,121,292,5020
209,19.05.14,4,4.0,2.0,0,0,3,12,1988,0,98006,1470000,466,3203,466,0,442,3203
210,03.07.14,4,5.0,2.0,0,1,3,11,2014,0,98040,2350000,466,1804,372,94,355,1586
211,06.08.14,5,5.0,2.0,0,0,3,10,2000,0,98075,1250000,465,3058,465,0,282,1171
212,13.01.15,4,4.0,3.0,0,2,3,12,2002,0,98006,1690000,465,1203,465,0,424,1203
213,01.04.15,4,4.0,2.0,0,0,3,11,2004,0,98029,1450000,465,3533,336,129,358,1678
214,30.06.14,5,4.0,2.0,0,3,3,10,2008,0,98040,1730000,465,2467,317,148,312,1617
215,25.11.14,4,5.0,2.0,0,3,3,9,1982,0,98052,1250000,463,1208,286,177,264,1051
216,22.04.15,4,4.0,2.0,0,3,3,11,2006,0,98065,1210000,463,1679,463,0,379,1355
217,30.03.15,4,4.0,2.0,0,3,4,11,1992,0,98006,1440000,462,1541,365,97,333,1239
218,29.05.14,4,5.0,3.0,0,0,3,11,1909,2003,98109,1430000,461,558,342,119,201,379
219,14.08.14,5,4.0,2.0,0,2,3,11,2001,0,98006,1360000,461,1300,349,112,483,1684
220,06.02.15,4,3.0,1.0,0,4,3,9,1953,0,98178,800000,459,933,321,138,226,862
221,03.07.14,4,5.0,2.0,0,0,3,12,2005,0,98092,835000,458,2390,458,0,336,2141
222,30.12.14,5,5.0,2.0,0,3,3,11,2000,0,98040,1700000,458,1361,387,72,282,788
223,22.08.14,3,3.0,2.0,0,0,3,9,1981,0,98072,600000,458,7206,365,93,257,683
224,02.01.15,4,4.0,2.0,0,3,3,12,2004,0,98075,1470000,458,2053,458,0,430,1755
225,15.07.14,6,4.0,1.0,0,3,4,9,1960,0,98118,850000,457,1914,254,204,344,1393
226,23.12.14,4,5.0,2.0,0,3,3,10,2006,0,98045,1040000,457,25115,355,102,457,24249
227,25.08.14,4,4.0,2.0,0,0,3,10,2012,0,98053,1410000,457,4705,398,59,457,6882
228,27.09.14,4,3.0,1.0,0,0,4,10,1964,0,98004,1540000,456,1407,238,218,370,1407
229,07.11.14,6,3.0,3.0,0,0,5,10,1910,0,98102,1680000,456,613,333,124,305,511
230,20.06.14,3,3.0,2.0,0,0,4,10,1989,0,98007,1080000,456,4048,372,85,329,1142
231,14.05.14,4,4.0,2.0,0,0,3,11,2007,0,98074,1220000,456,878,289,167,424,1028
232,25.03.15,4,5.0,2.0,0,2,3,11,1999,0,98040,2400000,454,1412,287,167,322,1506
233,10.10.14,4,4.0,2.0,0,0,3,13,2004,0,98059,1780000,454,1246,454,0,538,1258
234,26.12.14,5,4.0,2.0,0,0,3,9,2014,0,98011,865950,454,1119,334,121,427,937
235,07.04.15,4,5.0,2.0,0,3,3,10,2006,0,98092,537000,454,2420,359,95,347,917
236,21.08.14,5,3.0,2.0,0,0,3,10,1983,0,98074,722500,453,1097,322,130,296,1059
237,27.01.15,4,4.0,2.0,0,0,3,12,1995,0,98006,1840000,453,3642,453,0,465,3149
238,03.12.14,5,4.0,3.0,0,3,5,10,1929,0,98144,1740000,453,716,339,113,299,716
239,10.04.15,4,4.0,3.0,0,0,3,9,1993,0,98074,1390000,452,16851,452,0,358,16851
240,11.07.14,6,4.0,2.0,0,0,3,11,1998,0,98006,1070000,452,1096,359,93,335,1096
241,12.06.14,5,5.0,2.0,0,1,5,10,1905,0,98112,2250000,452,879,288,164,293,795
242,29.08.14,4,4.0,2.0,0,0,3,12,1996,0,98039,2950000,452,2220,452,0,333,1492
243,13.05.14,5,4.0,2.0,0,2,4,11,1989,0,98040,1680000,452,2205,355,97,375,1288
244,27.05.14,5,5.0,2.0,0,0,3,10,2001,0,98023,569950,451,3801,451,0,152,1255
245,18.06.14,4,5.0,2.0,1,4,5,10,1989,0,98034,3000000,451,1157,358,93,311,1135
246,21.05.14,5,4.0,2.0,0,0,3,10,1977,0,98005,975000,451,3388,451,0,358,3283
247,07.01.15,5,5.0,2.0,1,4,3,10,2007,0,98008,3570000,451,984,329,122,322,1698
248,20.11.14,5,5.0,2.0,0,0,3,10,2014,0,98040,1680000,449,1066,346,103,203,1024
249,30.06.14,5,5.0,3.0,0,2,4,11,1914,0,98144,1930000,449,748,345,104,415,854
250,11.09.14,4,4.0,2.0,1,4,4,11,1990,0,98039,3640000,449,2068,449,0,355,2378
251,09.07.14,5,6.0,2.0,0,1,5,9,1952,1998,98040,1680000,449,1739,365,84,268,978
252,22.02.15,5,5.0,2.0,0,0,4,11,1990,0,98077,1060000,448,1224,367,81,361,1283
253,26.08.14,4,4.0,2.0,0,3,3,11,2007,0,98004,3200000,447,1752,447,0,369,1852
254,28.07.14,5,4.0,2.0,0,2,3,11,1998,0,98006,1350000,446,1393,323,123,376,1767
255,10.07.14,6,5.0,2.0,0,0,3,10,2007,0,98112,1980000,446,845,333,113,203,561
256,17.07.14,4,4.0,2.0,0,0,3,10,2011,0,98059,1080000,446,1183,446,0,441,1264
257,09.09.14,5,4.0,2.0,0,1,3,9,2005,0,98006,818500,445,1204,289,156,243,1258
258,09.09.14,4,5.0,2.0,0,0,3,12,1999,0,98074,1680000,445,2362,445,0,356,1516
259,10.04.15,5,3.0,1.0,0,0,4,10,1975,0,98039,2580000,444,1900,340,104,433,1900
260,13.04.15,5,4.0,2.0,0,0,3,11,1994,0,98077,1640000,444,10971,444,0,375,2952
261,12.09.14,5,4.0,1.0,0,0,4,11,1973,0,98005,1040000,443,4656,285,158,328,3617
262,14.01.15,5,4.0,2.0,0,0,3,12,1990,0,98006,1480000,443,2934,443,0,420,2980
263,14.11.14,4,3.0,3.0,0,0,5,9,1916,0,98112,2250000,442,747,315,127,274,866
264,27.10.14,6,4.0,2.0,0,0,4,8,1947,0,98022,487000,441,23104,441,0,207,28960
265,19.06.14,4,5.0,2.0,0,2,3,10,2005,0,98118,1310000,441,1293,335,107,335,2056
266,13.12.14,4,4.0,2.0,0,0,3,11,1988,0,98052,1120000,441,5796,441,0,307,2962
