,bedrooms,bathrooms,house_floors,kcgs_waterfront,kcgs_view,kcgs_condition,kcgs_grade,year_construction,year_renovation,zip_code,price,m2_living,m2_lot
104,5,4,2,0,0,4,11,1916,0,98144,2500000,522,1178
105,5,4,2,0,0,3,11,1996,0,98072,995000,521,2094
106,4,4,3,0,0,3,11,2006,0,98074,1580000,521,1028
107,5,4,2,0,0,3,10,1988,0,98072,1090000,520,9959
108,4,5,2,0,0,3,11,1998,0,98014,1680000,519,6344
109,5,4,2,0,0,5,9,1952,0,98105,1860000,518,892
110,4,5,2,0,0,3,11,2005,0,98059,1500000,516,1205
111,4,4,2,0,2,4,12,2000,0,98039,3710000,516,2609
112,4,5,2,0,0,3,9,2003,0,98040,1650000,516,1493
113,6,5,2,0,2,3,11,2014,0,98033,2350000,516,1073
114,4,4,2,0,0,3,11,2003,0,98014,937500,515,80967
115,4,5,2,0,1,3,11,2006,0,98004,2580000,515,1432
116,6,5,3,0,2,4,11,1909,0,98119,2630000,515,669
117,5,3,2,0,2,3,10,1969,1994,98072,1350000,514,3607
118,4,3,2,0,3,3,9,2008,0,98006,1270000,513,773
119,3,5,2,0,4,3,13,1997,0,98177,3800000,512,3253
120,4,4,1,0,4,3,12,1996,0,98006,1790000,510,1329
121,5,6,2,0,0,3,12,2005,0,98039,3640000,510,1849
122,6,5,2,1,4,5,11,1936,0,98105,3650000,509,1803
123,6,5,2,0,0,4,10,1991,0,98031,800000,509,17570
124,6,5,2,0,3,4,9,1999,0,98119,2400000,509,1004
125,3,4,2,1,4,3,11,1991,0,98166,2510000,509,5389
126,4,3,2,1,4,3,11,1992,0,98118,1610000,508,1691
127,5,4,2,0,0,3,11,1976,0,98005,975000,508,3259
128,4,2,1,0,0,4,9,1964,0,98032,545000,508,2126
129,4,4,2,0,0,5,9,1984,0,98042,610000,507,3444
130,5,5,2,0,0,3,11,2014,0,98039,3420000,507,1897
131,4,3,1,0,0,2,9,1969,0,98001,850000,506,22266
132,4,4,2,0,0,3,12,1990,0,98053,1770000,506,3615
133,4,3,2,0,0,4,10,1987,0,98053,1360000,505,10121
134,5,4,2,0,2,3,10,2007,0,98006,1240000,505,960
135,4,5,1,0,0,3,11,2001,0,98053,1230000,504,9473
136,5,5,2,0,0,4,10,1941,0,98112,2540000,503,1248
137,3,3,2,1,4,4,12,1976,0,98166,2130000,502,2237
138,3,4,2,0,0,3,11,1997,0,98053,1210000,502,2299
139,5,4,2,0,0,3,10,1918,2008,98004,3000000,499,1310
140,7,5,2,0,0,3,8,1967,0,98040,884900,499,1004
141,4,4,2,0,0,3,10,2002,0,98075,1570000,499,30039
142,4,4,2,0,4,4,11,1990,0,98198,1350000,499,1895
143,4,3,2,0,0,3,10,2005,0,98042,790000,499,6491
144,4,4,1,0,0,3,9,1971,0,98074,700000,498,2398
145,7,3,3,0,0,4,10,1910,0,98112,2890000,497,1338
146,5,4,1,0,1,3,11,2008,0,98004,3350000,497,1428
147,5,4,3,0,3,4,10,1912,0,98144,2100000,496,990
148,6,4,2,0,0,3,11,2000,0,98006,1130000,495,1684
149,5,4,2,0,2,3,10,2006,0,98027,950000,495,558
150,4,4,2,0,0,3,11,2003,0,98075,1060000,494,1863
151,4,5,2,0,0,4,11,1989,0,98077,1370000,493,5330
152,6,4,2,0,2,3,10,1967,0,98040,1050000,493,1184
153,7,5,2,0,0,3,10,2013,0,98004,2300000,493,819
154,4,5,1,0,4,3,12,1992,0,98006,2480000,493,1571
155,5,5,2,0,2,3,11,2005,0,98033,2700000,493,781
156,4,3,2,1,2,2,10,1923,0,98105,2560000,493,2436
157,4,4,2,0,0,3,11,1989,0,98077,1150000,493,3442
158,3,4,2,0,0,4,11,1988,0,98053,1690000,492,20859
159,3,4,2,0,0,4,11,1988,0,98053,1800000,492,20859
160,4,4,2,0,3,3,11,1978,0,98040,1550000,491,1643
161,4,4,2,0,0,3,10,2004,0,98058,782000,490,4965
162,5,4,2,0,1,3,10,1977,2003,98040,1800000,490,1601
163,4,5,2,1,4,3,11,1979,0,98027,2600000,490,1133
164,4,5,2,0,0,3,10,1998,0,98059,915000,488,4494
165,4,6,2,0,2,3,10,2006,0,98024,1860000,487,29825
166,4,5,3,0,0,3,11,2002,0,98038,1350000,486,8299
167,3,5,2,1,4,3,10,2005,0,98040,3400000,486,1657
168,5,4,2,0,0,3,11,2014,0,98004,1990000,486,833
169,5,5,2,0,0,3,11,2001,0,98072,1570000,485,6256
170,4,4,2,0,3,3,11,2006,0,98075,1480000,485,1432
171,5,4,3,0,4,5,10,1911,0,98136,2200000,484,3324
172,5,6,2,0,2,3,11,2001,0,98065,925000,482,1174
173,5,5,2,0,2,3,11,1987,2000,98040,1700000,482,2204
174,5,4,2,0,1,3,11,2013,0,98039,2900000,482,1357
175,4,4,2,0,3,3,12,2006,0,98006,2250000,481,1845
176,5,4,1,0,0,3,11,1993,0,98006,1200000,481,1822
177,4,4,2,0,0,4,10,1991,0,98053,1240000,481,4641
178,5,5,2,0,2,3,11,2001,0,98065,1080000,481,1655
179,4,5,2,0,3,3,12,1998,0,98006,1490000,481,1215
180,5,4,3,1,4,3,11,1998,0,98155,1680000,480,669
181,5,5,2,0,0,3,12,1996,0,98005,1900000,480,4118
182,4,4,2,0,3,3,11,1997,0,98053,2140000,479,42184
183,3,5,3,0,2,3,11,1954,0,98112,2250000,479,725
184,5,4,2,0,2,3,10,2007,0,98008,1380000,479,1137
185,5,5,2,0,0,3,11,1996,0,98006,1600000,477,4008
186,3,4,3,0,2,3,11,2008,0,98034,1550000,476,428
187,4,5,2,0,0,3,10,2008,0,98053,1240000,476,3841
188,5,4,2,0,0,3,10,2003,0,98034,650000,475,931
189,6,4,3,0,0,4,11,1906,0,98112,2140000,475,662
190,7,4,2,0,0,3,10,2001,0,98075,936000,474,2026
191,5,6,2,0,0,3,12,2006,0,98004,3100000,473,2200
192,4,4,1,0,0,3,11,2013,0,98004,3000000,473,1378
193,4,4,2,0,0,3,11,2001,0,98006,1900000,472,2579
194,4,4,2,0,0,3,11,2000,0,98053,1100000,471,5588
195,5,3,1,0,2,3,9,1968,0,98003,452000,471,1237
196,4,6,2,0,0,3,11,2008,0,98004,2150000,470,959
197,4,4,2,0,2,3,11,1982,2008,98004,2900000,469,1868
198,4,4,2,0,0,3,10,2000,0,98027,1340000,469,18825
199,5,4,2,0,2,3,11,2001,0,98075,1030000,469,1533
200,4,4,2,0,0,3,11,2007,0,98004,2320000,469,885
201,4,5,1,0,3,3,10,1950,0,98105,2530000,468,1491
202,4,4,1,0,0,5,10,1976,0,98006,2850000,468,1599
203,5,5,2,0,0,3,11,2004,0,98059,1280000,468,880
204,4,5,2,0,2,3,11,2008,0,98040,2450000,467,1024
205,3,4,2,1,4,3,10,1941,2002,98144,3600000,467,1155
206,4,5,2,0,0,3,12,1998,0,98074,1500000,467,2446
207,5,4,2,0,1,3,12,2007,0,98004,3650000,467,808
208,4,4,2,0,0,5,9,1978,0,98027,965000,466,4575
209,4,4,2,0,0,3,12,1988,0,98006,1470000,466,3203
210,4,5,2,0,1,3,11,2014,0,98040,2350000,466,1804
211,5,5,2,0,0,3,10,2000,0,98075,1250000,465,3058
212,4,4,3,0,2,3,12,2002,0,98006,1690000,465,1203
213,4,4,2,0,0,3,11,2004,0,98029,1450000,465,3533
214,5,4,2,0,3,3,10,2008,0,98040,1730000,465,2467
215,4,5,2,0,3,3,9,1982,0,98052,1250000,463,1208
216,4,4,2,0,3,3,11,2006,0,98065,1210000,463,1679
217,4,4,2,0,3,4,11,1992,0,98006,1440000,462,1541
218,4,5,3,0,0,3,11,1909,2003,98109,1430000,461,558
219,5,4,2,0,2,3,11,2001,0,98006,1360000,461,1300
220,4,3,1,0,4,3,9,1953,0,98178,800000,459,933
221,4,5,2,0,0,3,12,2005,0,98092,835000,458,2390
222,5,5,2,0,3,3,11,2000,0,98040,1700000,458,1361
223,3,3,2,0,0,3,9,1981,0,98072,600000,458,7206
224,4,4,2,0,3,3,12,2004,0,98075,1470000,458,2053
225,6,4,1,0,3,4,9,1960,0,98118,850000,457,1914
226,4,5,2,0,3,3,10,2006,0,98045,1040000,457,25115
227,4,4,2,0,0,3,10,2012,0,98053,1410000,457,4705
228,4,3,1,0,0,4,10,1964,0,98004,1540000,456,1407
229,6,3,3,0,0,5,10,1910,0,98102,1680000,456,613
230,3,3,2,0,0,4,10,1989,0,98007,1080000,456,4048
231,4,4,2,0,0,3,11,2007,0,98074,1220000,456,878
232,4,5,2,0,2,3,11,1999,0,98040,2400000,454,1412
233,4,4,2,0,0,3,13,2004,0,98059,1780000,454,1246
234,5,4,2,0,0,3,9,2014,0,98011,865950,454,1119
235,4,5,2,0,3,3,10,2006,0,98092,537000,454,2420
236,5,3,2,0,0,3,10,1983,0,98074,722500,453,1097
237,4,4,2,0,0,3,12,1995,0,98006,1840000,453,3642
238,5,4,3,0,3,5,10,1929,0,98144,1740000,453,716
239,4,4,3,0,0,3,9,1993,0,98074,1390000,452,16851
240,6,4,2,0,0,3,11,1998,0,98006,1070000,452,1096
241,5,5,2,0,1,5,10,1905,0,98112,2250000,452,879
242,4,4,2,0,0,3,12,1996,0,98039,2950000,452,2220
243,5,4,2,0,2,4,11,1989,0,98040,1680000,452,2205
244,5,5,2,0,0,3,10,2001,0,98023,569950,451,3801
245,4,5,2,1,4,5,10,1989,0,98034,3000000,451,1157
246,5,4,2,0,0,3,10,1977,0,98005,975000,451,3388
247,5,5,2,1,4,3,10,2007,0,98008,3570000,451,984
248,5,5,2,0,0,3,10,2014,0,98040,1680000,449,1066
249,5,5,3,0,2,4,11,1914,0,98144,1930000,449,748
250,4,4,2,1,4,4,11,1990,0,98039,3640000,449,2068
251,5,6,2,0,1,5,9,1952,1998,98040,1680000,449,1739
252,5,5,2,0,0,4,11,1990,0,98077,1060000,448,1224
253,4,4,2,0,3,3,11,2007,0,98004,3200000,447,1752
254,5,4,2,0,2,3,11,1998,0,98006,1350000,446,1393
255,6,5,2,0,0,3,10,2007,0,98112,1980000,446,845
256,4,4,2,0,0,3,10,2011,0,98059,1080000,446,1183
257,5,4,2,0,1,3,9,2005,0,98006,818500,445,1204
258,4,5,2,0,0,3,12,1999,0,98074,1680000,445,2362
259,5,3,1,0,0,4,10,1975,0,98039,2580000,444,1900
260,5,4,2,0,0,3,11,1994,0,98077,1640000,444,10971
261,5,4,1,0,0,4,11,1973,0,98005,1040000,443,4656
262,5,4,2,0,0,3,12,1990,0,98006,1480000,443,2934
263,4,3,3,0,0,5,9,1916,0,98112,2250000,442,747
264,6,4,2,0,0,4,8,1947,0,98022,487000,441,23104
265,4,5,2,0,2,3,10,2005,0,98118,1310000,441,1293
266,4,4,2,0,0,3,11,1988,0,98052,1120000,441,5796
267,4,3,2,0,0,5,11,1976,0,98004,2180000,441,2017
268,5,4,2,0,2,3,10,2013,0,98198,770000,441,765
269,4,4,2,0,0,3,10,1987,0,98075,970000,441,7085
270,4,4,2,0,0,3,11,1990,0,98053,1150000,441,4562
271,4,4,2,0,0,4,10,1991,0,98027,1050000,441,11781
272,4,4,2,0,3,3,11,2006,0,98027,1350000,441,800
273,4,4,2,0,0,3,11,2003,0,98053,1200000,441,16031
274,4,4,2,0,0,5,10,1935,0,98112,2450000,440,1263
275,4,4,1,1,4,3,10,1954,0,98033,3400000,440,4449
276,4,5,3,0,4,5,11,1971,0,98177,1530000,439,1952
277,5,5,2,0,0,3,11,2005,0,98053,875000,439,1742
278,3,4,2,0,2,3,10,1998,0,98059,860000,439,3017
279,5,4,2,0,0,5,9,1975,0,98027,745000,439,45867
280,6,3,2,0,3,3,10,1931,0,98105,2180000,438,1022
281,4,4,2,0,0,3,10,1978,0,98005,900000,437,3570
282,4,4,2,0,3,3,11,1958,1995,98033,2650000,437,1276
283,4,3,2,0,0,3,10,1999,0,98075,1180000,437,4615
284,5,4,2,0,0,3,11,2002,0,98006,1400000,437,2075
285,4,4,1,0,4,3,11,2005,0,98116,1400000,437,851
286,4,5,2,0,1,3,11,2002,0,98033,2230000,437,1004
287,5,4,2,0,0,3,10,2006,0,98033,1140000,437,1044
288,4,4,1,0,2,3,11,2002,0,98033,1240000,437,946
289,5,4,2,0,0,3,9,1926,0,98112,2050000,436,763
290,4,4,2,0,2,3,10,1995,0,98155,600000,436,1388
291,5,5,2,0,0,3,10,1995,0,98006,932808,436,623
292,4,4,2,0,0,3,11,2001,0,98004,1950000,436,641
293,4,4,2,0,0,3,10,2007,0,98019,1020000,436,19251
294,4,4,2,0,0,3,10,2005,0,98006,1160000,435,901
295,4,4,2,0,0,3,10,2008,0,98033,1350000,435,1161
296,4,4,2,0,0,4,12,1988,0,98005,1580000,434,4817
297,7,5,2,0,2,3,11,1992,0,98039,2450000,434,2148
298,5,3,2,0,0,3,11,1998,0,98074,1000000,434,1474
299,4,6,2,0,0,3,12,1989,0,98006,1420000,434,4085
300,4,4,2,0,3,3,11,2007,0,98027,1240000,434,558
301,5,4,2,0,2,4,9,1979,0,98056,739000,433,920
302,4,3,2,0,0,3,9,2003,0,98059,760000,433,665
303,3,4,2,1,4,3,12,1975,1990,98166,1640000,433,1967
304,3,4,2,0,4,5,10,1909,0,98102,2150000,433,511
305,4,4,2,0,2,3,11,2003,0,98006,1280000,433,1617
306,5,5,2,0,2,3,11,2005,0,98004,2640000,433,1506
307,5,5,2,0,0,3,10,1999,0,98024,985000,432,10080
308,4,5,2,0,0,3,11,2008,0,98004,1750000,432,712
309,4,5,2,0,0,3,10,2006,0,98112,1600000,432,721
310,7,4,2,0,1,3,11,1965,2003,98040,1950000,431,1416
311,5,5,2,1,4,5,8,1952,0,98052,2200000,431,2110
312,4,4,2,0,2,3,10,2007,0,98027,1350000,431,913
313,4,4,2,0,0,3,10,2007,0,98059,1270000,431,1246
314,4,5,2,0,3,3,11,2005,0,98075,1430000,430,2236
315,5,5,2,0,0,3,9,2006,0,98065,809000,430,588
316,4,3,2,0,0,4,11,1991,0,98023,575000,429,1932
317,9,4,3,0,0,3,11,1915,0,98105,1400000,429,512
318,4,4,2,0,0,3,10,2014,0,98024,1460000,429,12101
319,4,4,1,0,0,4,10,1980,0,98027,630000,428,3736
320,4,4,2,0,0,3,10,2000,0,98075,960000,428,1085
321,5,4,2,0,3,3,11,2006,0,98027,1200000,428,983
322,4,4,2,0,2,3,11,2003,0,98033,1650000,428,1162
323,3,3,2,0,2,3,8,1947,1999,98144,1250000,428,781
324,5,5,2,0,4,3,11,2004,0,98075,1170000,428,1232
325,3,4,2,0,0,4,9,1984,0,98074,750000,428,7615
326,4,3,2,0,0,3,10,1990,0,98053,800000,428,6261
327,4,3,1,0,4,3,10,1989,0,98045,800000,428,29943
328,5,3,2,0,2,3,9,1918,2003,98004,2410000,428,2161
329,5,3,1,0,3,3,9,1956,2015,98177,805000,428,1843
330,5,4,2,0,0,3,10,2007,0,98006,880000,428,814
331,5,5,2,0,0,3,9,2006,0,98065,805000,428,726
332,5,4,2,0,2,5,11,1928,0,98199,2800000,427,1189
333,5,4,2,0,0,4,11,1927,0,98112,3000000,427,1047
334,4,5,2,0,0,3,10,2003,0,98033,1140000,427,1638
335,10,6,1,0,2,3,9,2008,0,98004,1150000,427,1015
336,4,3,2,0,0,3,10,1981,0,98177,960000,427,850
337,5,5,2,0,0,3,10,2009,0,98033,1710000,427,1365
338,5,4,2,0,0,3,10,2008,0,98033,1720000,427,3257
339,5,4,3,1,4,3,10,2004,0,98075,2000000,426,413
340,4,4,2,0,3,4,11,1991,0,98109,2900000,426,450
341,4,5,3,0,2,5,10,1926,0,98112,2920000,425,2238
342,5,3,2,0,0,5,10,1965,0,98040,1480000,425,1789
343,3,3,2,0,0,3,12,1991,0,98027,1040000,425,987
344,4,4,2,0,0,3,11,2002,0,98075,1100000,425,1507
345,4,3,2,0,4,5,12,1948,1985,98177,1580000,425,6923
346,4,3,2,0,2,3,11,1990,0,98074,1060000,425,1488
347,5,4,2,0,0,3,11,2006,0,98034,1040000,425,947
348,4,4,1,0,3,3,12,1995,0,98006,1210000,424,1547
349,4,4,1,0,3,3,12,1995,0,98006,1200000,424,1547
350,3,4,1,0,4,3,11,1995,0,98004,3200000,424,1242
351,3,3,2,0,0,4,9,1986,0,98074,695000,424,1638
352,5,4,1,0,0,5,9,1963,0,98004,1680000,424,1773
353,3,4,2,0,2,3,12,1990,0,98034,1490000,424,1358
354,3,3,2,0,2,3,10,2001,0,98034,1220000,424,1518
355,4,4,2,0,0,3,9,1995,0,98006,1100000,424,3870
356,4,5,1,1,4,3,10,2002,0,98074,3080000,423,1732
357,4,4,1,0,1,4,9,1989,0,98075,1050000,423,5020
358,4,4,2,0,0,3,11,1998,0,98006,1150000,422,1837
359,5,3,2,0,0,4,9,2003,0,98077,950000,421,24047
360,3,3,2,0,2,5,8,1912,0,98166,1120000,421,2126
361,4,4,2,0,2,3,10,1992,0,98040,1250000,420,859
362,6,5,2,0,0,3,9,1953,2008,98031,550000,420,3733
363,5,4,2,0,0,3,10,2003,0,98074,960000,419,1515
364,4,5,2,0,2,3,12,1998,0,98033,1820000,419,1196
365,4,3,3,0,2,3,8,1941,2000,98117,1060000,419,465
366,5,4,2,0,0,3,10,1969,2002,98040,1870000,419,1410
367,4,4,2,0,0,3,12,1991,0,98027,1520000,418,1096
368,5,4,2,0,4,4,8,1968,0,98125,860000,418,897
369,3,4,2,0,0,3,10,2004,0,98092,785000,418,2033
370,4,3,2,0,2,3,9,1980,0,98040,870000,418,2024
371,4,3,1,0,0,3,13,1988,0,98006,2340000,418,3271
372,4,4,1,0,0,3,12,1990,0,98004,1980000,418,4125
373,4,5,2,0,3,3,11,2009,0,98029,1830000,418,19999
374,5,4,2,0,0,3,10,2007,0,98059,750000,418,756
375,5,4,2,0,0,3,9,2013,0,98011,870000,418,937
376,4,4,2,0,0,4,10,1941,0,98112,1720000,417,708
377,4,4,2,0,0,3,12,1998,0,98005,1680000,417,3251
378,4,5,2,0,2,3,11,1998,0,98006,1390000,417,2302
379,3,4,2,1,4,3,12,1993,0,98034,3120000,417,5261
380,4,4,2,0,0,3,9,2006,0,98065,700000,417,474
381,5,4,2,0,0,3,10,2006,0,98027,890000,417,558
382,4,4,2,0,0,3,9,2006,0,98065,689000,417,539
383,5,5,2,0,0,3,10,2013,0,98004,1800000,417,955
384,4,5,2,0,0,3,7,2003,0,98030,490000,416,531
385,4,3,2,0,0,3,9,1987,0,98077,835000,416,3970
386,5,3,3,0,0,5,12,1902,0,98112,1990000,416,465
387,5,4,2,0,0,3,9,2014,0,98053,1040000,416,617
388,4,4,2,1,4,3,12,1999,0,98033,2570000,416,1898
389,6,4,3,0,3,3,9,2013,0,98188,598800,415,1661
390,3,3,2,0,2,3,9,1953,2004,98006,1480000,415,2093
391,4,3,2,0,0,3,10,1991,0,98053,885000,415,8013
392,4,3,2,0,0,3,11,1988,0,98072,1120000,415,5611
393,5,3,3,0,0,3,11,1984,0,98072,831500,415,3264
394,4,5,2,0,1,3,11,2010,0,98199,2950000,415,547
395,5,4,2,0,0,3,11,2008,0,98004,1540000,415,752
396,4,4,2,0,0,3,11,2001,0,98053,1150000,414,9608
397,3,4,2,0,0,3,9,2005,0,98042,739500,414,4756
398,6,3,3,0,2,4,10,1930,0,98105,1870000,414,646
399,5,4,2,0,4,3,9,1996,0,98027,833450,414,25032
400,4,3,2,0,0,3,10,1955,2007,98112,1910000,414,635
401,4,4,1,0,0,3,9,1962,1994,98039,1800000,414,1576
402,4,4,2,0,2,3,11,2001,0,98075,1060000,414,1512
403,3,3,2,0,0,3,12,1992,0,98033,1550000,414,2419
404,5,4,3,0,2,3,10,2015,0,98119,490000,414,276
405,5,4,2,0,0,3,9,2010,0,98199,1300000,414,714
406,5,3,2,0,0,3,9,2014,0,98011,845950,414,892
407,4,4,2,0,3,5,10,1922,0,98144,2250000,413,755
408,5,5,2,0,0,3,10,2012,0,98168,600000,413,909
409,4,4,2,0,2,5,10,1965,0,98040,1730000,413,1921
410,5,4,1,0,0,5,10,1968,0,98040,1300000,413,862
411,4,4,2,0,0,3,11,2003,0,98059,1040000,413,991
412,8,4,2,0,3,5,10,1959,0,98112,1970000,413,602
413,6,4,1,0,1,4,9,1959,0,98040,959000,413,1619
414,5,4,2,0,0,3,10,2013,0,98004,2450000,412,836
415,4,3,2,0,0,3,10,1990,0,98053,970000,412,6911
416,6,3,2,0,3,3,10,1964,2015,98118,1490000,412,599
417,4,4,2,0,0,3,12,1998,0,98005,1960000,412,2914
418,4,4,2,0,0,3,10,1952,2007,98039,2750000,412,1952
419,6,4,2,0,0,3,9,2001,0,98056,875000,412,1064
420,4,4,2,0,1,3,9,1962,2005,98125,925000,411,882
421,5,5,2,0,0,3,11,2000,0,98059,1210000,411,1254
422,5,4,2,0,0,5,10,1982,0,98007,1320000,411,3378
